,Fuel Type Code,Station Name,Street Address,City,State,ZIP,Station Phone,lat,lon,Date Last Confirmed,EV Connector Types
16,ELEC,MERCER ISLAND,8236 SE 24TH STREET,Mercer Island,WA,98040,888-758-4389,47.5900154,-122.22854609999999,2014-08-11,NEMA520 J1772
17,ELEC,NATIONAL GRID,997 Loudon Rd,Cohoes,NY,12047,888-758-4389,42.770945000000005,-73.753012,2014-08-11,J1772
18,LPG,AmeriGas,1706 Fairgrounds Dr,Mountain Home,AR,72653,870-425-2121,36.3218571,-92.3838926,2014-04-04,
19,BD,East Side Travel Plaza,607 Gateway Dr,East Grand Forks,MN,56721,218-773-4345,47.9375198,-97.01454840000001,2014-03-06,
20,ELEC,AUTO CLUB GROUP,783 S Orlando Ave,Winter Park,FL,32789,888-758-4389,28.5909042,-81.3660965,2014-08-11,NEMA520 J1772
21,CNG,Greater Richmond Transit Co,301 E Belt Blvd,Richmond,VA,23224,800-920-1166,37.50673099999999,-77.47908000000001,2014-08-05,
22,ELEC,Ehrlich Nissan,2625 25th Ave,Greeley,CO,80634,970-353-5333,40.3946842,-104.7220636,2014-04-21,J1772 CHADEMO
23,ELEC,Outpost Solar - Mines Road,1905 Mines Road,Pulaski,TN,38478,888-998-2546,35.210144,-87.054365,2014-08-11,J1772
24,CNG,SDG&E - Northern (Carlsbad),602 Cannon Rd,Carlsbad,CA,92008,213-244-5681,33.1336848,-117.33212320000001,2014-05-02,
25,ELEC,CITYZEPHYRHILLS,5335 Eighth St,Zephyrhills,FL,33542,888-758-4389,28.2352886,-82.1812439,2014-08-11,NEMA520 J1772
26,ELEC,Atlantic Nissan,205 Sunrise Hwy,West Islip,NY,11795,631-587-0700,40.720647,-73.304128,2014-04-21,J1772
27,LPG,U-Haul,157 E 3rd St,Williamsport,PA,17701,570-326-5161,41.242703000000006,-76.998402,2014-08-05,
28,ELEC,Dan Wilder Nissan,97 Deer Park Rd,Port Angeles,WA,98362,360-452-9268,48.102884,-123.342597,2014-04-21,J1772
29,LPG,Sierra Propane,447 E Main St,Springerville,AZ,85938,928-333-5550,34.1328336,-109.28092649999999,2013-02-28,
30,ELEC,Port of San Diego-Imperial Beach Parking Lot,"3165 Pacific Highway, Palm Avenue & Seacoast Drive",Imperial Beach,CA,91932,888-998-2546,32.5839,-117.13171799999999,2014-08-11,J1772
31,E85,Western Convenience Store,2387 W 72nd Ave,Denver,CO,80221,303-429-5754,39.82763679999999,-105.0152257,2013-10-31,
32,E85,Kroger #587,3939 Frankford Rd,Dallas,TX,75287,972-662-1000,32.99823189999999,-96.84608730000001,2014-03-06,
33,ELEC,THE BOEING CO,2060 E.Imperial Highway,El Segundo,CA,90245,888-758-4389,33.92830120000001,-118.38964990000001,2014-08-11,J1772
34,ELEC,Kroger Store #518,5665 E. Mockingbird,Dallas,TX,75206,888-998-2546,32.837337,-96.77053599999999,2014-08-11,J1772
35,E85,Marathon,323 Sagamore Pkwy,Lafayette,IN,47904,765-447-3827,40.420134000000004,-86.857658,2014-07-02,
36,E85,Mobil On the Run,1710 N Bishop Ave,Rolla,MO,65401,573-364-5404,37.9583377,-91.7728715,2014-06-03,
37,E85,Stop & Shop,312 1st Ave,Shakopee,MN,55379,952-496-3686,44.7981513,-93.53001440000001,2013-12-31,
38,ELEC,15 LLC,"3575 Piedmont Road, Building 15",Atlanta,GA,30305,888-998-2546,33.852522,-84.380658,2014-08-11,J1772
39,ELEC,Waikiki Sand Villa,2375 Ala Wai Blvd,Honolulu,HI,96815,808-922-4744,21.278842,-157.823158,2014-05-02,J1772
40,E85,Holbrook T & C Citgo,5665 Sunrise Hwy,Holbrook,NY,11741,631-567-0576,40.768313899999995,-73.071263,2014-04-04,
41,E85,Watonwan Farmers Service Co,702 E 14th St,Blue Earth,MN,56013,507-526-2100,43.6304107,-94.09394870000001,,
42,E85,Thorntons #307,110 W Devon Ave,Wood Dale,IL,60191,630-616-0993,41.992429,-87.980958,2013-10-31,
43,ELEC,Loyola University - New Orleans,7214 Saint Charles Ave,New Orleans,LA,70115,,29.937189899999996,-90.1268944,2014-04-21,J1772
44,CNG,Con Edison - College Point Service Center,124-15 31st Ave,Queens,NY,11354,718-321-4608,40.7678,-73.845925,2014-04-04,
45,ELEC,RENAISSANCE TWR,1201 Pacific Ave,Dallas,TX,75223,888-758-4389,32.7819816,-96.8019686,2014-08-11,J1772
46,ELEC,Piolax,139 Etowah Industrial Court,Canton,GA,30114,888-998-2546,34.2455859,-84.471847,2014-08-11,J1772
47,ELEC,Court Street Ford,558 William Latham Sr Dr,Bourbonnais,IL,60914,815-939-9600,41.161794,-87.885165,2013-12-31,J1772
48,BD,Piedmont Biofuels - Carrboro Public Works,100 Public Works Dr,Carrboro,NC,27510,919-321-8260,35.939414,-79.05699399999999,2014-07-02,
49,ELEC,Roush - Naples,3538 Plover Ave,Naples,FL,34117,888-998-2546,26.15823,-81.674971,2013-11-25,J1772
50,E85,Super Pantry #50,1940 S MacArthur Blvd,Springfield,IL,62704,217-522-0807,39.7795424,-89.6682571,2013-10-31,
51,LPG,U-Haul,75 Division St,Danbury,CT,6810,203-794-9435,41.391202,-73.45841800000001,2014-04-04,
52,ELEC,Brown & Howell LLC Sunbrite Corner,1590 E Bethany Home Road,Phoenix,AZ,85014,888-998-2546,33.523943100000004,-112.04788980000001,2014-08-11,J1772
53,ELEC,Ken Ganley Nissan,5180 Montville Dr,Medina,OH,44256,330-721-0500,41.134257,-81.793779,2014-04-21,J1772
54,ELEC,KIRKLAND,348 Kirkland Ave,Kirkland,WA,98033,888-758-4389,47.6757469,-122.20297240000002,2014-08-11,NEMA520 J1772
55,LPG,Blossman Gas Inc,102 Mississippi Dr,Waynesboro,MS,39367,601-735-2522,31.663926399999998,-88.6283224,2014-06-03,
56,LPG,Ferrellgas,310 Morrow Rd,Sand Springs,OK,74063,918-245-6617,36.133604600000005,-96.11798909999999,2014-08-05,
57,ELEC,Honda Motorwerks,500 4th St,LaCrosse,WI,54601,608-784-9280,43.808262,-91.252255,2013-11-30,J1772
58,LPG,Ron's Car Care & Propane Services,1241 E Central Ave,Miamisburg,OH,45342,937-866-4925,39.6403804,-84.2657791,2014-06-03,
59,ELEC,SCANSOURCE,6 Logue Ct,Greenville,SC,29615,888-758-4389,34.8554115,-82.24766540000002,2014-08-11,NEMA520 J1772
60,E85,Holiday Stationstore #3558,241 US Highway 8,Almena,WI,54805,715-357-3957,45.4096385,-92.0345747,2013-10-31,
61,E85,Meijer Gas #253,7149 E Saginaw St,East Lansing,MI,48823,517-885-9029,42.7704045,-84.41940149999998,2014-05-02,
62,E85,Kroger Fuel Center #355,3760 Paxton Ave,Cincinnati,OH,45209,513-871-4142,39.144518700000006,-84.43012089999998,2014-03-06,
63,E85,Suzy-Q's Fast Stop,202 Emminga Rd,Golden,IL,62339,217-696-2777,40.108233,-91.02834399999999,2013-10-31,
64,LPG,AmeriGas,1118 E 5th St,Hawthorne,NV,89415,775-945-3335,38.5244559,-118.61697749999999,2013-02-28,
65,ELEC,Round Rock Nissan,3050 N IH-35,Round Rock,TX,78681,512-244-8500,30.54205,-97.69265,2014-04-21,J1772
66,ELEC,Grapevine Recreational Area,Daltons Drive,Grapevine,TX,76051,888-998-2546,32.979103,-97.054467,2014-08-11,J1772
67,E85,Kwik Trip #662,3145 Dodd Rd,Eagan,MN,55121,651-405-8543,44.843626,-93.123586,2014-05-02,
68,ELEC,Roberts Motors,4350 N Alby St,Alton,IL,62002,618-466-7220,38.9217295,-90.17955970000001,2013-04-30,J1772
69,CNG,AMP Americas,1606 Exchange Pkwy,Waco,TX,76712,312-300-6700,31.5008835,-97.1734173,2014-07-21,
70,BD,Propel Fuels - 76,1850 E Holt Blvd,Ontario,CA,91761,909-467-1809,34.063173299999995,-117.6113105,2013-11-30,
71,ELEC,Lafontaine Nissan,2530 E Highland Rd,Highland,MI,48356,248-887-8900,42.652932,-83.580487,2014-04-21,J1772
72,LPG,Ferrellgas,1313 Eisenhower Rd,Norfolk,NE,68701,402-895-2344,42.061654299999994,-97.42695079999999,2014-06-03,
73,ELEC,San Joaquin Valley Air Pollution Control District,1990 E Gettysburg Ave,Fresno,CA,93726,559-230-6000,36.801411,-119.7881,2013-11-25,J1772
74,ELEC,Nemet Motors,153-03 Hillside Ave,Jamaica,NY,11432,718-523-5858,40.70751679999999,-73.8045108,2014-04-21,J1772
75,ELEC,Mesa Main Library,64 E. 1st Street,Mesa,AZ,85201,888-998-2546,33.417273,-111.83048400000001,2014-08-11,J1772
76,ELEC,Napleton Nissan,1301 Indianapolis Blvd,Schererville,IN,46375,219-865-3800,41.4976735,-87.47097120000001,2014-04-21,J1772
77,ELEC,"Spectrum Court, LLC",15433 N. Tatum Blvd.,Phoenix,AZ,85032,888-998-2546,33.62729,-111.97726200000001,2014-08-11,J1772
78,ELEC,Nissan of Oakland,2735 Broadway,Oakland,CA,94611,510-588-2200,37.820419,-122.261344,2014-06-03,J1772 CHADEMO
79,ELEC,UMKC,5001 Oak St,Kansas City,MO,64110,888-758-4389,39.035998,-94.581594,2014-08-11,J1772
80,ELEC,Umstead Hotel and Spa,100 Woodland Pond Dr,Cary,NC,27513,866-877-4141,35.82973,-78.7646,2014-08-05,J1772
81,ELEC,Nissan of Bergenfield,318 S Washington Ave,Bergenfield,NJ,7621,201-385-3600,40.917268299999996,-73.99720529999999,2014-04-21,J1772
82,ELEC,Peruzzi Nissan,165 Lincoln Hwy,Fairless Hills,PA,19030,215-943-6200,40.181931,-74.863403,2014-04-21,J1772
83,E85,Meijer Gas #167,2752 Alison Ln,Jeffersonville,IN,47130,812-218-6629,38.322866999999995,-85.70947699999998,2014-05-02,
84,ELEC,Westar Energy - Lawrence Energy Center,1250 N 1800 Rd,Lawrence,KS,66049,,39.006794899999996,-95.269499,2013-11-30,J1772
85,CNG,Con Edison - Eastview Service Center,315 Old Saw Mill River Rd,Valhalla,NY,10595,914-789-6723,41.08338699999999,-73.82378790000001,2014-04-04,
86,ELEC,Serramonte Nissan,650 Serramonte Blvd,Colma,CA,94014,650-994-1661,37.675806,-122.46127299999999,2014-04-21,J1772
87,LPG,Triple B Home Center,1315 S Hamilton St,Sullivan,IL,61951,217-728-2349,39.5857114,-88.6091442,2013-02-28,
88,ELEC,TOWNOFHEMPSTEAD,Lido Blvd,Point Lookout,NY,11561,888-758-4389,40.5924759,-73.5844193,2014-08-11,NEMA520 J1772
89,ELEC,INTUIT INC,21215 Burbank Blvd,Los Angeles,CA,91367,888-758-4389,34.1738849,-118.59311629999999,2014-08-11,J1772
90,CNG,Domino Express #9,1303 W 3rd St,Elk City,OK,73644,,35.4117249,-99.419721,2014-08-05,
91,ELEC,The Mill Casino,3201 Tremont Ave,North Bend,OR,97459,800-953-4800,43.394667600000005,-124.21955439999999,2014-05-02,J1772
92,LPG,U-Haul,1011 Highway 14,Lake Charles,LA,70601,337-436-5014,30.2250294,-93.1800662,2014-04-04,
93,ELEC,Coggin Nissan at the Avenues,10859 Philips Hwy,Jacksonville,FL,32256,904-880-3000,30.1725503,-81.5452976,2014-05-02,J1772
94,LPG,Heritage Propane,4504 E Lamar Alexander Pkwy,Walland,TN,37886,865-977-6777,35.747741600000005,-83.8371242,2014-08-05,
95,ELEC,POMONA COLLEGE,E 1st St,Claremont,CA,91711,888-758-4389,34.094818100000005,-117.71092220000001,2014-08-11,NEMA520 J1772
96,CNG,AT&T,100 W Alondra Rd,Gardena,CA,90248,,33.884128999999994,-118.277308,2013-07-31,
97,ELEC,NATIONAL GRID,222 Richmond St,Providence,RI,2903,888-758-4389,41.819064000000004,-71.408276,2014-08-11,J1772
98,E85,Vandenberg Air Force Base,306 8th St,Santa Barbara,CA,93437,,34.7232998,-120.5356382,2014-08-05,
99,CNG,Encana - Plano,5851 Legacy Cir,Plano,TX,75024,,33.0806397,-96.82270150000001,2014-07-03,
100,ELEC,CITYOFSANTAROSA,97 D St,Santa Rosa,CA,95404,888-758-4389,38.439413200000004,-122.7112405,2014-08-11,NEMA520 J1772
101,ELEC,Spartanburg Municipal Parking Garage,130 E Saint John St,Spartanburg,SC,29306,843-743-6736,34.9520415,-81.9315933,2012-07-31,J1772
102,E85,Elgin One Stop,501 N 2nd St,Elgin,NE,68636,402-843-2100,41.9801347,-98.0845445,2014-06-03,
103,ELEC,Chatsworth Metrolink Station,10046 Old Depot Plaza Rd,Chatsworth,CA,91311,800-371-5465,34.253386799999994,-118.5988554,2012-12-31,J1772
104,ELEC,Embassy Suites Frisco Hotel & Convention Center --- South Parking Lot,7600 John Q Hammons Drive,Frisco,TX,75034,888-998-2546,33.099784,-96.81732,2014-08-11,J1772
105,ELEC,CARCHARGING,1 Pennsylvania Plaza,New York,NY,10119,888-758-4389,40.75147,-73.9927795,2014-08-11,NEMA520 J1772
106,ELEC,EV CHARGER,64-74 NV-592,Las Vegas,NV,89109,888-758-4389,36.1153633,-115.16997240000002,2014-08-11,J1772
107,BD,Forest Service - Cleveland National Forest,Cleveland National Forest,Santa Ysabel,CA,92070,,33.212382,-116.71063899999999,2014-08-05,
108,BD,City of Phoenix - Fire Station #59,1111 S 65th Ave,Phoenix,AZ,85043,,33.4379359,-112.1982409,2013-10-31,
109,ELEC,Google,1842 N Shoreline Blvd,Mountain View,CA,94043,,37.41968918,-122.0785,2013-11-30,J1772
110,CNG,NGV Solutions LLC,5495 Lakeland Dr,Flowood,MS,39232,601-982-1244,32.350721,-90.030272,2014-04-04,
111,ELEC,OUC,65 W Washington St,Orlando,FL,32801,888-758-4389,28.544092,-81.380449,2014-08-11,NEMA520 J1772
112,E85,Kroger Fuel Center #844,175 Lancaster Pike,Circleville,OH,43113,740-477-5700,39.5989347,-82.93229889999998,2014-03-06,
113,ELEC,MBTA,280 Ivory St,Braintree,MA,2184,888-758-4389,42.205989,-71.00079199999998,2014-08-11,J1772
114,ELEC,Hilton La Jolla Torrey Pines,10950 North Torrey Pines Road,La Jolla,CA,92037,888-998-2546,32.9015358,-117.24377140000001,2014-08-11,J1772
115,E85,Kum & Go #240,530 North Ave,Norwalk,IA,50211,515-981-0617,41.475025,-93.68187,2014-03-06,
116,ELEC,John Elway Chevrolet - Voltec,5200 S Broadway,Englewood,CO,80113,,39.621219,-104.986672,2013-12-31,NEMA520
117,E85,Citgo - Tiger Gas,7901 S Natchez,Burbank,IL,60459,708-430-3895,41.748129,-87.782278,2013-10-31,
118,ELEC,Benton Nissan,1834 US Highway 78 E,Oxford,AL,36203,256-831-8882,33.6148266,-85.79992309999999,2014-05-02,J1772
119,ELEC,350GREEN,1251 US Highway 31 N,Greenwood,IN,46142,888-758-4389,39.6338234,-86.1242065,2014-08-11,J1772
120,ELEC,Concordville Nissan,452 Wilmington W Chester Pike,Glen Mills,PA,19342,610-459-8900,39.86583710000001,-75.5442656,2014-04-21,J1772
121,BD,National Grid - Westborough,25 Research Dr,Westborough,MA,1581,,42.287238200000004,-71.5770683,2014-04-04,
122,HY,Kaneohe Marine Base,370 3rd St,Kaneohe Bay,HI,96863,,21.44651,-157.76176999999998,2014-08-05,
123,ELEC,FREEDOM NISSAN,1095 Shelburne Road,South Burlington,VT,5403,888-758-4389,44.4388342,-73.21090579999999,2014-08-11,CHADEMO
124,E85,Speedway #5491,18799 Fort St,Riverview,MI,48193,734-282-4196,42.170846999999995,-83.188294,2014-03-06,
125,ELEC,El Dorado County Government Center,2850 Fairlane Ct,Placerville,CA,95667,530-621-5300,38.727990000000005,-120.82799999999999,2013-12-31,J1772
126,ELEC,Santa Clara University - Leavey Lot,500 S El Camino Real,Santa Clara,CA,95050,888-758-4389,37.34946442,-121.93430330000001,2012-07-31,NEMA520 J1772
127,LPG,Martin LP Gas,5553 Highway 300,Longview,TX,75604,903-759-5250,32.5804954,-94.81231600000001,2013-02-28,
128,ELEC,Crowley Nissan,1451 Farmington Ave,Bristol,CT,6010,860-944-7766,41.6992932,-72.8956037,2014-04-21,J1772
129,LPG,AmeriGas,163 Railroad Ave SW,New Albin,IA,52160,563-544-4200,43.495994700000004,-91.2917817,2014-04-04,
130,LPG,Ferrellgas - Andrews Shell,9060 W Northern Ave,Glendale,AZ,85305,602-278-8511  877-234-1722,33.552254,-112.254324,2013-05-31,
131,E85,United Western Co-op,3165 US Highway 30,Woodbine,IA,51579,712-647-2511,41.727864000000004,-95.702833,2014-04-04,
132,ELEC,UM PTS,646 W Pratt St,Baltimore,MD,21201,888-758-4389,39.286313799999995,-76.6251238,2014-08-11,NEMA520 J1772
133,LPG,U-Haul,1420 Blizzard Dr,Parkersburg,WV,26101,304-485-6220,39.243167,-81.552325,2014-07-02,
134,ELEC,Panera Bread - Tesla,3260 Niles Rd,Saint Joseph,MI,49085,877-798-3752,42.056717,-86.456695,2014-04-21,TESLA
135,E85,Kwik Trip #485,6 W Hidden Tr,Elkhorn,WI,53121,262-723-7179,42.694575,-88.54249,2014-05-02,
136,LPG,Herring Gas Co,309 S 10th Ave,Laurel,MS,39440,601-428-7185,31.6870189,-89.1386445,2014-06-03,
137,LNG,Burrtec Waste,9820 Cherry Ave,Fontana,CA,92335,,34.07585,-117.48891909999999,2014-05-02,
138,BD,DC Department of Public Works - MPD 3rd District,1620 V St NW,Washington,DC,20009,,38.917766,-77.037726,2013-10-31,
139,E85,Fanco,103 Comfort Dr,Jacksonville,IL,62650,217-243-3400,39.6923323,-90.2287682,2013-10-31,
140,LPG,Penman Conoco Service,609  E Main St,Knox City,TX,79529,940-658-3513,33.4180937,-99.8129655,2013-02-28,
141,ELEC,CARCHARGING,610 Exterior St,Bronx,NY,10451,888-758-4389,40.8205131,-73.9301496,2014-08-11,J1772 NEMA520
142,ELEC,WEST GERMAN BMW,500 Pennsylvania Ave,Fort Washington,PA,19034,888-758-4389,40.134012,-75.2074839,2014-08-11,J1772
143,LNG,Clean Energy - Jacksonville,440-1 Lane Ave S,Jacksonville,FL,32254,866-809-4869,30.3243386,-81.7518892,2014-04-04,
144,ELEC,Pearson Ford,10650 N Michigan Rd,Zionsville,IN,46077,317-873-3333,39.9416571,-86.2372927,2013-07-25,J1772
145,ELEC,IRL WEST RAMP,909 E 2nd Ave,Coralville,IA,52241,888-758-4389,41.682581,-91.5626321,2014-08-11,NEMA520 J1772
146,ELEC,ABBERLYCROSSING,9698 Patriot Crossing,Ladson,SC,29456,888-758-4389,32.9555017,-80.11664990000001,2014-08-11,J1772
147,LPG,Port Washington Street Department,333 N Moore Rd,Port Washington,WI,53074,,43.3875661,-87.879509,2014-06-03,
148,E85,Qik-n-EZ #62,1607 Morrissey Dr,Bloomington,IL,61704,309-661-0524,40.4589719,-88.9699779,2013-12-31,
149,ELEC,"Walgreens - Lutherville, MD #12847",1801 York Road,Lutherville,MD,21093,800-663-5633,39.430637700000005,-76.6208506,2014-08-11,J1772
150,ELEC,350GREEN,6170 W. Grand,Gurnee,IL,60031,888-758-4389,42.3897247,-87.955513,2014-08-11,J1772
151,ELEC,Kroger Store #308,11003 Shadow Creek Pkwy,Pearland,TX,77584,888-998-2546,29.583886,-95.387923,2014-08-11,J1772
152,E85,Beaufort Marine Corps Air Station,Moore St,Beaufort,SC,29904,,32.461238,-80.710684,2014-08-05,
153,ELEC,Bloomingdale Court Shopping Center,396 W Army Trail Rd,Bloomingdale,IL,60108,847-577-3572,41.938396000000004,-88.112679,2013-12-31,J1772
154,CNG,New York State Department of Transportation,730A Chemung St,Horseheads,NY,14845,,42.157555,-76.829942,2014-04-04,
155,E85,Pawnee Corner - Shell - Sunshine Energy,1535 E Pawnee,Wichita,KS,67216,316-295-4535,37.649569,-97.31897099999999,2013-09-30,
156,ELEC,Lynchburg Nissan,18588 Forest Rd,Forest,VA,24551,434-385-7733,37.386097,-79.244054,2014-05-02,J1772
157,LPG,INDOT - 71st Street Maintenance Unit,7160 Lafayette Rd,Indianapolis,IN,46278,,39.882517,-86.294341,2013-08-31,
158,ELEC,Waikiki Beach Marriott,2552 Kalakaua Ave,Honolulu,HI,96815,888-833-2148  808-922-6611,21.2731229,-157.822788,2014-05-02,J1772
159,LPG,O'Neal Gas,901 N Louisiana St,Plain Dealing,LA,71064,318-326-5556,32.912526799999995,-93.7047267,2014-04-04,
160,CNG,Clean Energy - Fontana Truck Stop,14226 Valley Blvd,Fontana,CA,92335,866-809-4869,34.0708706,-117.49434640000001,2014-05-02,
161,ELEC,SPARTAN STORES,2260 Gezon Parkway,Wyoming,MI,49519,888-758-4389,42.8607593,-85.716702,2014-08-11,NEMA520 J1772
162,ELEC,CELEBRATION,1999 Central Park Dr,Okemos,MI,48864,888-758-4389,42.727346000000004,-84.421766,2014-08-11,J1772
163,ELEC,Woodland Gateway Shopping Center,County Rd 102 & Maxwell Ave,Woodland,CA,95776,916-442-4600,38.668735999999996,-121.7287,2013-12-31,NEMA520 J1772
164,ELEC,NATIONAL GRID,Suny at Albany,Albany,NY,12222,888-758-4389,42.6883686,-73.82306659999999,2014-08-11,J1772
165,ELEC,WHOLE FOODS MKT,1150 Ocean Ave,San Francisco,CA,94112,888-758-4389,37.723830799999995,-122.45478119999999,2014-08-11,J1772
166,ELEC,Loring Ramp,1330 Nicollet Ave,Minneapolis,MN,55403,612-455-0702,44.969832399999994,-93.27782490000001,2014-03-06,NEMA520
167,E85,Cenex - Ampride C-Store,409 E 4th St,Ainsworth,NE,69210,402-387-0144,42.549879600000004,-99.8580685,2014-06-03,
168,E85,Stop In Food Stores #67,1220 Seminole Tr,Charlottesville,VA,22901,434-973-1005,38.070130999999996,-78.485182,2013-11-30,
169,ELEC,NRG eVgo - Walgreens Freedom Station,130 N Oakridge Dr,Hudson Oaks,TX,76087,877-455-3833,32.757740000000005,-97.71054000000001,2014-07-03,NEMA520 J1772 CHADEMO
170,E85,FSC Mart - Godfather's,408 6th St,Corning,IA,50841,641-322-3488,40.9880799,-94.7332596,2014-04-04,
171,ELEC,Lodi Animals Service and Shelter,1345 W Kettleman Ln,Lodi,CA,95242,209-333-6815,38.115533899999996,-121.28893810000001,2013-05-31,J1772
172,ELEC,I-64 East Rest Stop,I-64 E and VA-155,Providence Forge,VA,23140,800-367-7623,37.499039,-77.04316,2013-12-31,NEMA520
173,BD,Daily's #7111,5272 Cane Ridge Rd,Nashville,TN,37013,615-731-4063,36.045435,-86.6613932,2014-08-05,
174,ELEC,Suntek Business Center - NPM,9450 SW Barnes Rd,Portland,OR,97086,888-998-2546,45.508691999999996,-122.774947,2014-08-11,J1772
175,LPG,U-Haul,1900 E Milwaukee St,Janesville,WI,53545,608-756-3980,42.691925399999995,-88.99951479999999,2013-10-31,
176,ELEC,Fairview Town Hall,372 Town Place,Fairview,TX,75069,888-998-2546,33.13232,-96.64707,2014-08-11,J1772
177,ELEC,Wright Automotive Group,10520 Perry Hwy,Wexford,PA,15090,724-935-4646,40.610479,-80.05303599999999,2014-04-21,J1772
178,ELEC,Bert Ogden Nissan,721 N Jackson Rd,McAllen,TX,78501,956-631-6666,26.206789399999998,-98.203314,2014-04-21,J1772
179,E85,Pennsylvania Turnpike North Somerset Service Plaza - Sonoco,169 N Plaza Access Rd,Somerset,PA,15501,814-444-1746,40.00178,-79.046458,2014-08-05,
180,ELEC,Maroone Nissan of Pembroke Pines,8890 Pines Blvd,Pembroke Pines,FL,33024,954-433-3400,26.007358,-80.263072,2014-05-02,J1772
181,ELEC,SIEMENS,200-398 Technology Dr,Alpharetta,GA,30005,888-758-4389,34.118141200000004,-84.2180176,2014-08-11,NEMA520 J1772
182,ELEC,Staunton Nissan,297 Lee Jackson Hwy,Staunton,VA,24401,540-886-3465,38.1185725,-79.0687636,2014-04-21,J1772
183,ELEC,City of Raleigh - Police Fleet Station,6716 Six Forks Rd,Raleigh,NC,27601,919-996-3030,35.872238,-78.641278,2014-07-03,NEMA520 J1772
184,CNG,GreenTeam - San Jose CA,1333 Oakland Rd,San Jose,CA,95112,800-920-1166,37.3685305,-121.89305060000001,2014-05-02,
185,E85,Meijer Gas #137,4901 State Route 26 E,Lafayette,IN,47905,765-449-9229,40.415445,-86.81237899999998,2014-05-02,
186,LPG,U-Haul,4767 Hamilton Ave,Cincinnati,OH,45223,513-542-6300,39.178939,-84.545326,2014-03-06,
187,E85,BP,5830 E 10 Mile Rd,Warren,MI,48091,586-759-4884,42.476809,-83.045964,2014-07-03,
188,E85,Kum & Go #155,21510 Highway 365 N,Maumelle,AR,72113,501-851-2536,34.8838622,-92.3921179,2014-03-06,
189,ELEC,Camden County Regional Library - Bellmawr Branch,35 East Browning Road,Bellmawr,NJ,8031,888-998-2546,39.8665027,-75.0775904,2014-08-11,J1772
190,ELEC,ACUA - Wastewater: 1801 Absecon Blvd (Route 30),1801 Absecon Blvd,Atlantic City,NJ,8401,888-998-2546,39.382109,-74.449067,2014-08-11,J1772
191,ELEC,FARMERS BANK,1590 4th St,Minden,NV,89423,888-758-4389,38.9536037,-119.76351170000001,2014-08-11,J1772
192,ELEC,CSU FULLERTON,800 N. State College,Fullerton,CA,92831,888-758-4389,33.87945870000001,-117.883179,2014-08-11,CHADEMO
193,ELEC,NATIONAL GRID,257 College of Nanoscale Science and EngineeringFuller Rd,Albany,NY,12203,888-758-4389,42.6899118,-73.8317353,2014-08-11,J1772
194,ELEC,Claire's on Cedros,246 North Cedros Avenue,Solana Beach,CA,92075,888-998-2546,32.994847,-117.271096,2014-08-11,J1772
195,ELEC,Port City Nissan,120 Spaulding Tpke,Portsmouth,NH,3801,603-431-6500,43.0772236,-70.7851839,2014-04-21,J1772
